budget,budget_derivation,budget_id,budget_utilization,consensus_algorithm,critical_ens,critical_infrastructure_outage_hours,critical_load_served_fraction,feasibility,maximum_customers_unserved_per_hour,method,method_solution_source,patch_count,physical_asset_deduplication,preference_source,projection,qci_sample_index,qci_sample_pool_size,qci_sample_selection_rule,runtime,system_trace_id,total_ens,total_upgrade_cost,trace_path,training_scenario_count,marginal_ens_reduction_per_dollar
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,CMPO-local polynomial search,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,1.4193980409763751,system-a254793fb4c2dced3238,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__CMPO-local_polynomial_search.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,50.62500877953275,4.125,0.9726351303894418,True,0.1762177717513143,IPOPT/Pyomo nonlinear,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.8306062079500407,system-f03a3a88304cd1d3e9fc,297.7082118840262,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__IPOPT_Pyomo_nonlinear.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,1596.3284204375,29.625,0.1371197727364864,True,0.6294185065902579,QCi SC-CMPO,/Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/qci_repeat_system_metrics.csv,12,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",20.0,30.0,"among the 30 preserved system-aligned QCi samples that fit the hard budget: lexicographic full-system feasibility, critical ENS, critical-infrastructure outage hours, maximum customers unserved, critical-load served, risk-adjusted cost, runtime, sample index",0.2148695420473814,system-2241e17862ae89bbf4f6,1986.3284204375,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/minimum_feasible_islanding__QCi_SC-CMPO.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,QUBO/quadratized search,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.3335595829412341,system-9e86fbf1cc3ea7c332fa,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__QUBO_quadratized_search.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,134.99999998384254,3.0,0.9270270270357608,True,0.1762177650429799,SLSQP,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.2684469588566571,system-cf633eea5a75cfe2dc34,589.9999999709166,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__SLSQP.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,differential evolution,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.334544416051358,system-de3c72a87ec9fc244883,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__differential_evolution.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,greedy resilience heuristic,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.1255067079328,system-fd3767be927ffdc2be6f,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__greedy_resilience_heuristic.json,8,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,piecewise-linear MILP,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.2845085831359029,system-8718c1b68e8abcf805f3,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__piecewise-linear_MILP.json,8,
2114027.8922130284,Minimum feasible islanding portfolio plus the least-cost full PV option in the discrete catalog.,low_cost_catalog_step,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,CMPO-local polynomial search,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,1.3963464580010625,system-315294c4621375e9de1d,615.0,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__CMPO-local_polynomial_search.json,8,-0.0
2114027.8922130284,Minimum feasible islanding portfolio plus the least-cost full PV option in the discrete catalog.,low_cost_catalog_step,1.0,existing overlap_consensus.run_method_consensus,50.62503138313974,4.125,0.9726351181712758,True,0.1762177893631807,IPOPT/Pyomo nonlinear,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.4488383750431239,system-567a74457577364a30a8,297.70801762842046,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__IPOPT_Pyomo_nonlinear.json,8,2.3690894809155734e-09
